Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
india,Jan,31.1,0.1,13.6,-3.1,30.7,415.2,,37.1,,1.5,24,72.93
india,Feb,34.1,4.1,17.8,0.6,32.5,702.5,,55.4,,2.3,25.4,63.41
india,Mar,41.1,8.1,24.1,5.1,43.8,337.6,,40.7,,2.8,22.2,50.52
india,Apr,46.1,14.1,30.9,,51.3,298.2,,55.4,,2.9,23.2,33.28
india,May,47.1,0.1,33.6,-5.5,51.4,919.4,,64.8,,3.3,30.4,38.79
india,Jun,49.1,7.1,33.3,3.6,55,1429.9,,63,,3.4,44.4,51.59
india,Jul,43.1,15.9,31.2,,55.4,3032.8,,63,,3.6,66.7,69.62
india,Aug,39.1,22.1,30.5,,53.8,3015.3,,63,,3.3,61.7,72.95
india,Sep,40.1,20.1,29.4,,56.7,1652.6,,38.9,,3.3,42.3,69.6
india,Oct,39.1,13.6,26.6,,46.7,114.5,,63,,2.5,10.6,58.06
india,Nov,36.1,5.1,20.8,4,34.2,50.8,,85.3,,1.8,11.6,60.08
india,Dec,28.7,1.1,15.3,-0.6,28.1,69.2,,35.3,,1.5,17,68.36
